Ref_Date,GEO,EST,COM,Value
2010,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),66
2011,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),104
2012,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),106
2013,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),109
2002,British Columbia,Area planted (hectares),Garlic,20
2003,British Columbia,Area planted (hectares),Garlic,20
2004,British Columbia,Area planted (hectares),Garlic,22
2005,British Columbia,Area planted (hectares),Garlic,14
2006,British Columbia,Area planted (hectares),Garlic,14
2007,British Columbia,Area planted (hectares),Garlic,16
2008,British Columbia,Area planted (hectares),Garlic,22
2009,British Columbia,Area planted (hectares),Garlic,28
2010,British Columbia,Area planted (hectares),Garlic,40
2011,British Columbia,Area planted (hectares),Garlic,112
2012,British Columbia,Area planted (hectares),Garlic,125
2013,British Columbia,Area planted (hectares),Garlic,134
2002,British Columbia,Area planted (hectares),Leeks,
2003,British Columbia,Area planted (hectares),Leeks,
2004,British Columbia,Area planted (hectares),Leeks,
2005,British Columbia,Area planted (hectares),Leeks,
2006,British Columbia,Area planted (hectares),Leeks,
2007,British Columbia,Area planted (hectares),Leeks,16
2008,British Columbia,Area planted (hectares),Leeks,18
2009,British Columbia,Area planted (hectares),Leeks,x
2010,British Columbia,Area planted (hectares),Leeks,F
2011,British Columbia,Area planted (hectares),Leeks,37
2012,British Columbia,Area planted (hectares),Leeks,19
2013,British Columbia,Area planted (hectares),Leeks,17
2002,British Columbia,Area planted (hectares),Lettuce,210
2003,British Columbia,Area planted (hectares),Lettuce,239
2004,British Columbia,Area planted (hectares),Lettuce,237
2005,British Columbia,Area planted (hectares),Lettuce,196
2006,British Columbia,Area planted (hectares),Lettuce,275
2007,British Columbia,Area planted (hectares),Lettuce,162
2008,British Columbia,Area planted (hectares),Lettuce,176
2009,British Columbia,Area planted (hectares),Lettuce,225
2010,British Columbia,Area planted (hectares),Lettuce,338
2011,British Columbia,Area planted (hectares),Lettuce,238
2012,British Columbia,Area planted (hectares),Lettuce,240
2013,British Columbia,Area planted (hectares),Lettuce,242
2002,British Columbia,Area planted (hectares),Dry onions,89
2003,British Columbia,Area planted (hectares),Dry onions,79
2004,British Columbia,Area planted (hectares),Dry onions,89
2005,British Columbia,Area planted (hectares),Dry onions,65
2006,British Columbia,Area planted (hectares),Dry onions,89
2007,British Columbia,Area planted (hectares),Dry onions,89
2008,British Columbia,Area planted (hectares),Dry onions,81
2009,British Columbia,Area planted (hectares),Dry onions,F
2010,British Columbia,Area planted (hectares),Dry onions,F
2011,British Columbia,Area planted (hectares),Dry onions,123
2012,British Columbia,Area planted (hectares),Dry onions,125
2013,British Columbia,Area planted (hectares),Dry onions,F
2002,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",26
2003,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",32
2004,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",28
2005,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",18
2006,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",28
2007,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",24
2008,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",20
2009,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",18
2010,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",30
2011,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",20
2012,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",30
2013,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",30
2002,British Columbia,Area planted (hectares),Parsley,x
2003,British Columbia,Area planted (hectares),Parsley,10
2004,British Columbia,Area planted (hectares),Parsley,10
2005,British Columbia,Area planted (hectares),Parsley,14
2006,British Columbia,Area planted (hectares),Parsley,16
2007,British Columbia,Area planted (hectares),Parsley,12
2008,British Columbia,Area planted (hectares),Parsley,12
2009,British Columbia,Area planted (hectares),Parsley,10
2010,British Columbia,Area planted (hectares),Parsley,F
2011,British Columbia,Area planted (hectares),Parsley,8
2012,British Columbia,Area planted (hectares),Parsley,8
2013,British Columbia,Area planted (hectares),Parsley,13
2002,British Columbia,Area planted (hectares),Parsnips,20
2003,British Columbia,Area planted (hectares),Parsnips,20
2004,British Columbia,Area planted (hectares),Parsnips,22
2005,British Columbia,Area planted (hectares),Parsnips,18
2006,British Columbia,Area planted (hectares),Parsnips,6
2007,British Columbia,Area planted (hectares),Parsnips,6
2008,British Columbia,Area planted (hectares),Parsnips,18
2009,British Columbia,Area planted (hectares),Parsnips,F
2010,British Columbia,Area planted (hectares),Parsnips,17
2011,British Columbia,Area planted (hectares),Parsnips,19
2012,British Columbia,Area planted (hectares),Parsnips,15
2013,British Columbia,Area planted (hectares),Parsnips,16
2002,British Columbia,Area planted (hectares),"Peas, green",870
2003,British Columbia,Area planted (hectares),"Peas, green",728
2004,British Columbia,Area planted (hectares),"Peas, green",890
2005,British Columbia,Area planted (hectares),"Peas, green",609
2006,British Columbia,Area planted (hectares),"Peas, green",728
2007,British Columbia,Area planted (hectares),"Peas, green",647
2008,British Columbia,Area planted (hectares),"Peas, green",708
2009,British Columbia,Area planted (hectares),"Peas, green",508
2010,British Columbia,Area planted (hectares),"Peas, green",440
2011,British Columbia,Area planted (hectares),"Peas, green",312
2012,British Columbia,Area planted (hectares),"Peas, green",351
2013,British Columbia,Area planted (hectares),"Peas, green",390
2002,British Columbia,Area planted (hectares),Pumpkins,
2003,British Columbia,Area planted (hectares),Pumpkins,
2004,British Columbia,Area planted (hectares),Pumpkins,
2005,British Columbia,Area planted (hectares),Pumpkins,
2006,British Columbia,Area planted (hectares),Pumpkins,
2007,British Columbia,Area planted (hectares),Pumpkins,283
2008,British Columbia,Area planted (hectares),Pumpkins,243
2009,British Columbia,Area planted (hectares),Pumpkins,285
2010,British Columbia,Area planted (hectares),Pumpkins,353
2011,British Columbia,Area planted (hectares),Pumpkins,370
2012,British Columbia,Area planted (hectares),Pumpkins,379
2013,British Columbia,Area planted (hectares),Pumpkins,388
2002,British Columbia,Area planted (hectares),Shallots and green onions,
2003,British Columbia,Area planted (hectares),Shallots and green onions,
2004,British Columbia,Area planted (hectares),Shallots and green onions,
2005,British Columbia,Area planted (hectares),Shallots and green onions,
2006,British Columbia,Area planted (hectares),Shallots and green onions,
2007,British Columbia,Area planted (hectares),Shallots and green onions,32
2008,British Columbia,Area planted (hectares),Shallots and green onions,28
2009,British Columbia,Area planted (hectares),Shallots and green onions,24
2010,British Columbia,Area planted (hectares),Shallots and green onions,F
2011,British Columbia,Area planted (hectares),Shallots and green onions,55
2012,British Columbia,Area planted (hectares),Shallots and green onions,54
2013,British Columbia,Area planted (hectares),Shallots and green onions,53
2002,British Columbia,Area planted (hectares),Spinach,57
2003,British Columbia,Area planted (hectares),Spinach,59
2004,British Columbia,Area planted (hectares),Spinach,67
2005,British Columbia,Area planted (hectares),Spinach,40
2006,British Columbia,Area planted (hectares),Spinach,47
2007,British Columbia,Area planted (hectares),Spinach,47
2008,British Columbia,Area planted (hectares),Spinach,42
2009,British Columbia,Area planted (hectares),Spinach,45
2010,British Columbia,Area planted (hectares),Spinach,84
2011,British Columbia,Area planted (hectares),Spinach,69
2012,British Columbia,Area planted (hectares),Spinach,67
2013,British Columbia,Area planted (hectares),Spinach,65
2002,British Columbia,Area planted (hectares),Squash and zucchinis,
2003,British Columbia,Area planted (hectares),Squash and zucchinis,
2004,British Columbia,Area planted (hectares),Squash and zucchinis,
2005,British Columbia,Area planted (hectares),Squash and zucchinis,
2006,British Columbia,Area planted (hectares),Squash and zucchinis,
2007,British Columbia,Area planted (hectares),Squash and zucchinis,202
2008,British Columbia,Area planted (hectares),Squash and zucchinis,202
2009,British Columbia,Area planted (hectares),Squash and zucchinis,237
2010,British Columbia,Area planted (hectares),Squash and zucchinis,333
2011,British Columbia,Area planted (hectares),Squash and zucchinis,412
2012,British Columbia,Area planted (hectares),Squash and zucchinis,425
2013,British Columbia,Area planted (hectares),Squash and zucchinis,437
2002,British Columbia,Area planted (hectares),Tomatoes,75
2003,British Columbia,Area planted (hectares),Tomatoes,75
2004,British Columbia,Area planted (hectares),Tomatoes,93
2005,British Columbia,Area planted (hectares),Tomatoes,75
2006,British Columbia,Area planted (hectares),Tomatoes,57
2007,British Columbia,Area planted (hectares),Tomatoes,69
2008,British Columbia,Area planted (hectares),Tomatoes,67
2009,British Columbia,Area planted (hectares),Tomatoes,68
2010,British Columbia,Area planted (hectares),Tomatoes,81
2011,British Columbia,Area planted (hectares),Tomatoes,115
2012,British Columbia,Area planted (hectares),Tomatoes,94
2013,British Columbia,Area planted (hectares),Tomatoes,97
2002,British Columbia,Area planted (hectares),Peppers,101
2003,British Columbia,Area planted (hectares),Peppers,111
2004,British Columbia,Area planted (hectares),Peppers,111
2005,British Columbia,Area planted (hectares),Peppers,85
2006,British Columbia,Area planted (hectares),Peppers,91
2007,British Columbia,Area planted (hectares),Peppers,81
2008,British Columbia,Area planted (hectares),Peppers,81
2009,British Columbia,Area planted (hectares),Peppers,103
2010,British Columbia,Area planted (hectares),Peppers,105
2011,British Columbia,Area planted (hectares),Peppers,149
2012,British Columbia,Area planted (hectares),Peppers,150
2013,British Columbia,Area planted (hectares),Peppers,150
2002,British Columbia,Area planted (hectares),Radishes,40
2003,British Columbia,Area planted (hectares),Radishes,45
2004,British Columbia,Area planted (hectares),Radishes,45
2005,British Columbia,Area planted (hectares),Radishes,36
2006,British Columbia,Area planted (hectares),Radishes,42
2007,British Columbia,Area planted (hectares),Radishes,40
2008,British Columbia,Area planted (hectares),Radishes,36
2009,British Columbia,Area planted (hectares),Radishes,36
2010,British Columbia,Area planted (hectares),Radishes,39
2011,British Columbia,Area planted (hectares),Radishes,43
2012,British Columbia,Area planted (hectares),Radishes,47
2013,British Columbia,Area planted (hectares),Radishes,51
2002,British Columbia,Area planted (hectares),Rhubarb,47
2003,British Columbia,Area planted (hectares),Rhubarb,45
2004,British Columbia,Area planted (hectares),Rhubarb,49
2005,British Columbia,Area planted (hectares),Rhubarb,53
2006,British Columbia,Area planted (hectares),Rhubarb,63
2007,British Columbia,Area planted (hectares),Rhubarb,69
2008,British Columbia,Area planted (hectares),Rhubarb,49
2009,British Columbia,Area planted (hectares),Rhubarb,63
2010,British Columbia,Area planted (hectares),Rhubarb,69
2011,British Columbia,Area planted (hectares),Rhubarb,68
2012,British Columbia,Area planted (hectares),Rhubarb,75
2013,British Columbia,Area planted (hectares),Rhubarb,x
2002,British Columbia,Area planted (hectares),Rutabagas and turnips,65
2003,British Columbia,Area planted (hectares),Rutabagas and turnips,57
2004,British Columbia,Area planted (hectares),Rutabagas and turnips,81
2005,British Columbia,Area planted (hectares),Rutabagas and turnips,97
2006,British Columbia,Area planted (hectares),Rutabagas and turnips,105
2007,British Columbia,Area planted (hectares),Rutabagas and turnips,85
2008,British Columbia,Area planted (hectares),Rutabagas and turnips,93
2009,British Columbia,Area planted (hectares),Rutabagas and turnips,F
2010,British Columbia,Area planted (hectares),Rutabagas and turnips,104
2011,British Columbia,Area planted (hectares),Rutabagas and turnips,117
2012,British Columbia,Area planted (hectares),Rutabagas and turnips,108
2013,British Columbia,Area planted (hectares),Rutabagas and turnips,99
2002,British Columbia,Area planted (hectares),Watermelon,16
2003,British Columbia,Area planted (hectares),Watermelon,14
2004,British Columbia,Area planted (hectares),Watermelon,22
2005,British Columbia,Area planted (hectares),Watermelon,22
2006,British Columbia,Area planted (hectares),Watermelon,24
2007,British Columbia,Area planted (hectares),Watermelon,20
2008,British Columbia,Area planted (hectares),Watermelon,14
2009,British Columbia,Area planted (hectares),Watermelon,14
2010,British Columbia,Area planted (hectares),Watermelon,F
2011,British Columbia,Area planted (hectares),Watermelon,11
2012,British Columbia,Area planted (hectares),Watermelon,7
2013,British Columbia,Area planted (hectares),Watermelon,12
2002,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2003,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2004,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2005,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2006,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2007,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2008,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2009,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2010,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2011,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",..
2012,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",..
2013,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",..
2002,British Columbia,Area planted (hectares),"Cabbage, regular",
2003,British Columbia,Area planted (hectares),"Cabbage, regular",
2004,British Columbia,Area planted (hectares),"Cabbage, regular",
2005,British Columbia,Area planted (hectares),"Cabbage, regular",
2006,British Columbia,Area planted (hectares),"Cabbage, regular",
2007,British Columbia,Area planted (hectares),"Cabbage, regular",
2008,British Columbia,Area planted (hectares),"Cabbage, regular",
2009,British Columbia,Area planted (hectares),"Cabbage, regular",
2010,British Columbia,Area planted (hectares),"Cabbage, regular",
2011,British Columbia,Area planted (hectares),"Cabbage, regular",..
2012,British Columbia,Area planted (hectares),"Cabbage, regular",..
2013,British Columbia,Area planted (hectares),"Cabbage, regular",..
2002,British Columbia,Area planted (hectares),Other vegetables,
2003,British Columbia,Area planted (hectares),Other vegetables,
2004,British Columbia,Area planted (hectares),Other vegetables,
2005,British Columbia,Area planted (hectares),Other vegetables,
2006,British Columbia,Area planted (hectares),Other vegetables,
2007,British Columbia,Area planted (hectares),Other vegetables,
2008,British Columbia,Area planted (hectares),Other vegetables,
2009,British Columbia,Area planted (hectares),Other vegetables,
2010,British Columbia,Area planted (hectares),Other vegetables,
2011,British Columbia,Area planted (hectares),Other vegetables,..
2012,British Columbia,Area planted (hectares),Other vegetables,..
2013,British Columbia,Area planted (hectares),Other vegetables,..
2002,British Columbia,Marketed production (metric tonnes),Asparagus,186
2003,British Columbia,Marketed production (metric tonnes),Asparagus,227
2004,British Columbia,Marketed production (metric tonnes),Asparagus,177
2005,British Columbia,Marketed production (metric tonnes),Asparagus,170
2006,British Columbia,Marketed production (metric tonnes),Asparagus,91
2007,British Columbia,Marketed production (metric tonnes),Asparagus,75
2008,British Columbia,Marketed production (metric tonnes),Asparagus,91
2009,British Columbia,Marketed production (metric tonnes),Asparagus,F
2010,British Columbia,Marketed production (metric tonnes),Asparagus,F
2011,British Columbia,Marketed production (metric tonnes),Asparagus,203
2012,British Columbia,Marketed production (metric tonnes),Asparagus,168
2013,British Columbia,Marketed production (metric tonnes),Asparagus,F
2002,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",5919
2003,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",6078
2004,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",6473
2005,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",6545
2006,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",6895
2007,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",8199
2008,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",6831
2009,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",6426
2010,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",4486
2011,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",4258
2012,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",3953
2013,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",4479
2002,British Columbia,Marketed production (metric tonnes),Beets,1157
2003,British Columbia,Marketed production (metric tonnes),Beets,1168
2004,British Columbia,Marketed production (metric tonnes),Beets,1089
2005,British Columbia,Marketed production (metric tonnes),Beets,1238
2006,British Columbia,Marketed production (metric tonnes),Beets,x
2007,British Columbia,Marketed production (metric tonnes),Beets,1950
2008,British Columbia,Marketed production (metric tonnes),Beets,1588
2009,British Columbia,Marketed production (metric tonnes),Beets,F
2010,British Columbia,Marketed production (metric tonnes),Beets,F
2011,British Columbia,Marketed production (metric tonnes),Beets,4694
2012,British Columbia,Marketed production (metric tonnes),Beets,3729
2013,British Columbia,Marketed production (metric tonnes),Beets,4352
2002,British Columbia,Marketed production (metric tonnes),Broccoli,
2003,British Columbia,Marketed production (metric tonnes),Broccoli,
2004,British Columbia,Marketed production (metric tonnes),Broccoli,
2005,British Columbia,Marketed production (metric tonnes),Broccoli,
2006,British Columbia,Marketed production (metric tonnes),Broccoli,
2007,British Columbia,Marketed production (metric tonnes),Broccoli,1746
2008,British Columbia,Marketed production (metric tonnes),Broccoli,1622
2009,British Columbia,Marketed production (metric tonnes),Broccoli,1600
2010,British Columbia,Marketed production (metric tonnes),Broccoli,1138
2011,British Columbia,Marketed production (metric tonnes),Broccoli,1804
2012,British Columbia,Marketed production (metric tonnes),Broccoli,2464
2013,British Columbia,Marketed production (metric tonnes),Broccoli,1740
2002,British Columbia,Marketed production (metric tonnes),Brussels sprouts,
2003,British Columbia,Marketed production (metric tonnes),Brussels sprouts,
2004,British Columbia,Marketed production (metric tonnes),Brussels sprouts,
2005,British Columbia,Marketed production (metric tonnes),Brussels sprouts,
2006,British Columbia,Marketed production (metric tonnes),Brussels sprouts,
2007,British Columbia,Marketed production (metric tonnes),Brussels sprouts,4717
2008,British Columbia,Marketed production (metric tonnes),Brussels sprouts,3810
2009,British Columbia,Marketed production (metric tonnes),Brussels sprouts,F
2010,British Columbia,Marketed production (metric tonnes),Brussels sprouts,3017
2011,British Columbia,Marketed production (metric tonnes),Brussels sprouts,3914
2012,British Columbia,Marketed production (metric tonnes),Brussels sprouts,2883
2013,British Columbia,Marketed production (metric tonnes),Brussels sprouts,1750
2002,British Columbia,Marketed production (metric tonnes),Cabbage,6214
2003,British Columbia,Marketed production (metric tonnes),Cabbage,5153
2004,British Columbia,Marketed production (metric tonnes),Cabbage,6192
2005,British Columbia,Marketed production (metric tonnes),Cabbage,4518
2006,British Columbia,Marketed production (metric tonnes),Cabbage,4559
2007,British Columbia,Marketed production (metric tonnes),Cabbage,3878
2008,British Columbia,Marketed production (metric tonnes),Cabbage,5035
2009,British Columbia,Marketed production (metric tonnes),Cabbage,6696
2010,British Columbia,Marketed production (metric tonnes),Cabbage,5674
2011,British Columbia,Marketed production (metric tonnes),Cabbage,6540
2012,British Columbia,Marketed production (metric tonnes),Cabbage,6602
2013,British Columbia,Marketed production (metric tonnes),Cabbage,8657
2002,British Columbia,Marketed production (metric tonnes),Carrots,8255
2003,British Columbia,Marketed production (metric tonnes),Carrots,8337
2004,British Columbia,Marketed production (metric tonnes),Carrots,6443
2005,British Columbia,Marketed production (metric tonnes),Carrots,6192
2006,British Columbia,Marketed production (metric tonnes),Carrots,x
2007,British Columbia,Marketed production (metric tonnes),Carrots,6985
2008,British Columbia,Marketed production (metric tonnes),Carrots,10020
2009,British Columbia,Marketed production (metric tonnes),Carrots,F
2010,British Columbia,Marketed production (metric tonnes),Carrots,5890
2011,British Columbia,Marketed production (metric tonnes),Carrots,8740
2012,British Columbia,Marketed production (metric tonnes),Carrots,7376
2013,British Columbia,Marketed production (metric tonnes),Carrots,F
2002,British Columbia,Marketed production (metric tonnes),Cauliflower,1633
2003,British Columbia,Marketed production (metric tonnes),Cauliflower,1315
2004,British Columbia,Marketed production (metric tonnes),Cauliflower,1415
2005,British Columbia,Marketed production (metric tonnes),Cauliflower,508
2006,British Columbia,Marketed production (metric tonnes),Cauliflower,381
2007,British Columbia,Marketed production (metric tonnes),Cauliflower,277
2008,British Columbia,Marketed production (metric tonnes),Cauliflower,390
2009,British Columbia,Marketed production (metric tonnes),Cauliflower,F
2010,British Columbia,Marketed production (metric tonnes),Cauliflower,x
2011,British Columbia,Marketed production (metric tonnes),Cauliflower,813
2012,British Columbia,Marketed production (metric tonnes),Cauliflower,436
2013,British Columbia,Marketed production (metric tonnes),Cauliflower,548
2002,British Columbia,Marketed production (metric tonnes),Celery,x
2003,British Columbia,Marketed production (metric tonnes),Celery,227
2004,British Columbia,Marketed production (metric tonnes),Celery,x
2005,British Columbia,Marketed production (metric tonnes),Celery,147
2006,British Columbia,Marketed production (metric tonnes),Celery,F
2007,British Columbia,Marketed production (metric tonnes),Celery,102
2008,British Columbia,Marketed production (metric tonnes),Celery,88
2009,British Columbia,Marketed production (metric tonnes),Celery,x
2010,British Columbia,Marketed production (metric tonnes),Celery,x
2011,British Columbia,Marketed production (metric tonnes),Celery,56
2012,British Columbia,Marketed production (metric tonnes),Celery,73
