Ref_Date,GEO,PRO,COM,Value
1984/10,Canada,Seed crushed,Canola (rapeseed),133777
1984/11,Canada,Seed crushed,Canola (rapeseed),128352
1984/12,Canada,Seed crushed,Canola (rapeseed),102627
1985/01,Canada,Seed crushed,Canola (rapeseed),95541
1985/02,Canada,Seed crushed,Canola (rapeseed),122070
1985/03,Canada,Seed crushed,Canola (rapeseed),137155
1985/04,Canada,Seed crushed,Canola (rapeseed),97214
1985/05,Canada,Seed crushed,Canola (rapeseed),112050
1985/06,Canada,Seed crushed,Canola (rapeseed),125762
1985/07,Canada,Seed crushed,Canola (rapeseed),87676
1985/08,Canada,Seed crushed,Canola (rapeseed),50390
1985/09,Canada,Seed crushed,Canola (rapeseed),103560
1985/10,Canada,Seed crushed,Canola (rapeseed),128202
1985/11,Canada,Seed crushed,Canola (rapeseed),122787
1985/12,Canada,Seed crushed,Canola (rapeseed),116212
1986/01,Canada,Seed crushed,Canola (rapeseed),101649
1986/02,Canada,Seed crushed,Canola (rapeseed),100538
1986/03,Canada,Seed crushed,Canola (rapeseed),124829
1986/04,Canada,Seed crushed,Canola (rapeseed),86491
1986/05,Canada,Seed crushed,Canola (rapeseed),83939
1986/06,Canada,Seed crushed,Canola (rapeseed),90503
1986/07,Canada,Seed crushed,Canola (rapeseed),102038
1986/08,Canada,Seed crushed,Canola (rapeseed),76299
1986/09,Canada,Seed crushed,Canola (rapeseed),120529
1986/10,Canada,Seed crushed,Canola (rapeseed),137917
1986/11,Canada,Seed crushed,Canola (rapeseed),131872
1986/12,Canada,Seed crushed,Canola (rapeseed),147983
1987/01,Canada,Seed crushed,Canola (rapeseed),140929
1987/02,Canada,Seed crushed,Canola (rapeseed),128008
1987/03,Canada,Seed crushed,Canola (rapeseed),144939
1987/04,Canada,Seed crushed,Canola (rapeseed),129484
1987/05,Canada,Seed crushed,Canola (rapeseed),140238
1987/06,Canada,Seed crushed,Canola (rapeseed),140093
1987/07,Canada,Seed crushed,Canola (rapeseed),113290
1987/08,Canada,Seed crushed,Canola (rapeseed),74383
1987/09,Canada,Seed crushed,Canola (rapeseed),129074
1987/10,Canada,Seed crushed,Canola (rapeseed),147143
1987/11,Canada,Seed crushed,Canola (rapeseed),158728
1987/12,Canada,Seed crushed,Canola (rapeseed),153979
1988/01,Canada,Seed crushed,Canola (rapeseed),151217
1988/02,Canada,Seed crushed,Canola (rapeseed),153421
1988/03,Canada,Seed crushed,Canola (rapeseed),147768
1988/04,Canada,Seed crushed,Canola (rapeseed),135437
1988/05,Canada,Seed crushed,Canola (rapeseed),107210
1988/06,Canada,Seed crushed,Canola (rapeseed),137373
1988/07,Canada,Seed crushed,Canola (rapeseed),111792
1988/08,Canada,Seed crushed,Canola (rapeseed),72721
1988/09,Canada,Seed crushed,Canola (rapeseed),130579
1988/10,Canada,Seed crushed,Canola (rapeseed),135058
1988/11,Canada,Seed crushed,Canola (rapeseed),128254
1988/12,Canada,Seed crushed,Canola (rapeseed),112617
1989/01,Canada,Seed crushed,Canola (rapeseed),98812
1989/02,Canada,Seed crushed,Canola (rapeseed),95011
1989/03,Canada,Seed crushed,Canola (rapeseed),104904
1989/04,Canada,Seed crushed,Canola (rapeseed),98246
1989/05,Canada,Seed crushed,Canola (rapeseed),143282
1989/06,Canada,Seed crushed,Canola (rapeseed),126212
1989/07,Canada,Seed crushed,Canola (rapeseed),115955
1989/08,Canada,Seed crushed,Canola (rapeseed),101871
1989/09,Canada,Seed crushed,Canola (rapeseed),105207
1989/10,Canada,Seed crushed,Canola (rapeseed),118801
1989/11,Canada,Seed crushed,Canola (rapeseed),123223
1989/12,Canada,Seed crushed,Canola (rapeseed),120587
1990/01,Canada,Seed crushed,Canola (rapeseed),108563
1990/02,Canada,Seed crushed,Canola (rapeseed),101351
1990/03,Canada,Seed crushed,Canola (rapeseed),110843
1990/04,Canada,Seed crushed,Canola (rapeseed),89087
1990/05,Canada,Seed crushed,Canola (rapeseed),82759
1990/06,Canada,Seed crushed,Canola (rapeseed),85968
1990/07,Canada,Seed crushed,Canola (rapeseed),80256
1990/08,Canada,Seed crushed,Canola (rapeseed),95534
1990/09,Canada,Seed crushed,Canola (rapeseed),127628
1990/10,Canada,Seed crushed,Canola (rapeseed),134663
1990/11,Canada,Seed crushed,Canola (rapeseed),130916
1990/12,Canada,Seed crushed,Canola (rapeseed),115655
1991/01,Canada,Seed crushed,Canola (rapeseed),113764
1991/02,Canada,Seed crushed,Canola (rapeseed),119227
1991/03,Canada,Seed crushed,Canola (rapeseed),123823
1991/04,Canada,Seed crushed,Canola (rapeseed),119960
1991/05,Canada,Seed crushed,Canola (rapeseed),125317
1991/06,Canada,Seed crushed,Canola (rapeseed),125624
1991/07,Canada,Seed crushed,Canola (rapeseed),109052
1991/08,Canada,Seed crushed,Canola (rapeseed),93524
1991/09,Canada,Seed crushed,Canola (rapeseed),141467
1991/10,Canada,Seed crushed,Canola (rapeseed),140011
1991/11,Canada,Seed crushed,Canola (rapeseed),139026
1991/12,Canada,Seed crushed,Canola (rapeseed),146052
1992/01,Canada,Seed crushed,Canola (rapeseed),142451
1992/02,Canada,Seed crushed,Canola (rapeseed),153998
1992/03,Canada,Seed crushed,Canola (rapeseed),144580
1992/04,Canada,Seed crushed,Canola (rapeseed),158115
1992/05,Canada,Seed crushed,Canola (rapeseed),141449
1992/06,Canada,Seed crushed,Canola (rapeseed),152748
1992/07,Canada,Seed crushed,Canola (rapeseed),172613
1992/08,Canada,Seed crushed,Canola (rapeseed),137162
1992/09,Canada,Seed crushed,Canola (rapeseed),148852
1992/10,Canada,Seed crushed,Canola (rapeseed),164501
1992/11,Canada,Seed crushed,Canola (rapeseed),155399
1992/12,Canada,Seed crushed,Canola (rapeseed),178135
1993/01,Canada,Seed crushed,Canola (rapeseed),158742
1993/02,Canada,Seed crushed,Canola (rapeseed),159795
1993/03,Canada,Seed crushed,Canola (rapeseed),175982
1993/04,Canada,Seed crushed,Canola (rapeseed),159194
1993/05,Canada,Seed crushed,Canola (rapeseed),164666
1993/06,Canada,Seed crushed,Canola (rapeseed),148034
1993/07,Canada,Seed crushed,Canola (rapeseed),161617
1993/08,Canada,Seed crushed,Canola (rapeseed),165176
1993/09,Canada,Seed crushed,Canola (rapeseed),175264
1993/10,Canada,Seed crushed,Canola (rapeseed),187543
1993/11,Canada,Seed crushed,Canola (rapeseed),185802
1993/12,Canada,Seed crushed,Canola (rapeseed),197632
1994/01,Canada,Seed crushed,Canola (rapeseed),193140
1994/02,Canada,Seed crushed,Canola (rapeseed),167109
1994/03,Canada,Seed crushed,Canola (rapeseed),189976
1994/04,Canada,Seed crushed,Canola (rapeseed),192008
1994/05,Canada,Seed crushed,Canola (rapeseed),185895
1994/06,Canada,Seed crushed,Canola (rapeseed),178790
1994/07,Canada,Seed crushed,Canola (rapeseed),177238
1994/08,Canada,Seed crushed,Canola (rapeseed),139335
1994/09,Canada,Seed crushed,Canola (rapeseed),204217
1994/10,Canada,Seed crushed,Canola (rapeseed),229168
1994/11,Canada,Seed crushed,Canola (rapeseed),234048
1994/12,Canada,Seed crushed,Canola (rapeseed),237236
1995/01,Canada,Seed crushed,Canola (rapeseed),244889
1995/02,Canada,Seed crushed,Canola (rapeseed),220421
1995/03,Canada,Seed crushed,Canola (rapeseed),228200
1995/04,Canada,Seed crushed,Canola (rapeseed),215378
1995/05,Canada,Seed crushed,Canola (rapeseed),189193
1995/06,Canada,Seed crushed,Canola (rapeseed),205003
1995/07,Canada,Seed crushed,Canola (rapeseed),165847
1995/08,Canada,Seed crushed,Canola (rapeseed),169116
1995/09,Canada,Seed crushed,Canola (rapeseed),222281
1995/10,Canada,Seed crushed,Canola (rapeseed),220536
1995/11,Canada,Seed crushed,Canola (rapeseed),228044
1995/12,Canada,Seed crushed,Canola (rapeseed),237503
1996/01,Canada,Seed crushed,Canola (rapeseed),256404
1996/02,Canada,Seed crushed,Canola (rapeseed),232102
1996/03,Canada,Seed crushed,Canola (rapeseed),244715
1996/04,Canada,Seed crushed,Canola (rapeseed),244634
1996/05,Canada,Seed crushed,Canola (rapeseed),204683
1996/06,Canada,Seed crushed,Canola (rapeseed),227839
1996/07,Canada,Seed crushed,Canola (rapeseed),264560
1996/08,Canada,Seed crushed,Canola (rapeseed),242443
1996/09,Canada,Seed crushed,Canola (rapeseed),267313
1996/10,Canada,Seed crushed,Canola (rapeseed),247922
1996/11,Canada,Seed crushed,Canola (rapeseed),210029
1996/12,Canada,Seed crushed,Canola (rapeseed),208208
1997/01,Canada,Seed crushed,Canola (rapeseed),192181
1997/02,Canada,Seed crushed,Canola (rapeseed),208141
1997/03,Canada,Seed crushed,Canola (rapeseed),234160
1997/04,Canada,Seed crushed,Canola (rapeseed),203297
1997/05,Canada,Seed crushed,Canola (rapeseed),238266
1997/06,Canada,Seed crushed,Canola (rapeseed),242504
1997/07,Canada,Seed crushed,Canola (rapeseed),217417
1997/08,Canada,Seed crushed,Canola (rapeseed),207588
1997/09,Canada,Seed crushed,Canola (rapeseed),305311
1997/10,Canada,Seed crushed,Canola (rapeseed),260700
1997/11,Canada,Seed crushed,Canola (rapeseed),248240
1997/12,Canada,Seed crushed,Canola (rapeseed),289983
1998/01,Canada,Seed crushed,Canola (rapeseed),289047
1998/02,Canada,Seed crushed,Canola (rapeseed),281128
1998/03,Canada,Seed crushed,Canola (rapeseed),299175
1998/04,Canada,Seed crushed,Canola (rapeseed),297076
1998/05,Canada,Seed crushed,Canola (rapeseed),254984
1998/06,Canada,Seed crushed,Canola (rapeseed),256882
1998/07,Canada,Seed crushed,Canola (rapeseed),248703
1998/08,Canada,Seed crushed,Canola (rapeseed),223067
1998/09,Canada,Seed crushed,Canola (rapeseed),297717
1998/10,Canada,Seed crushed,Canola (rapeseed),325303
1998/11,Canada,Seed crushed,Canola (rapeseed),287124
1998/12,Canada,Seed crushed,Canola (rapeseed),320525
1999/01,Canada,Seed crushed,Canola (rapeseed),284215
1999/02,Canada,Seed crushed,Canola (rapeseed),238513
1999/03,Canada,Seed crushed,Canola (rapeseed),268798
1999/04,Canada,Seed crushed,Canola (rapeseed),216027
1999/05,Canada,Seed crushed,Canola (rapeseed),224357
1999/06,Canada,Seed crushed,Canola (rapeseed),193204
1999/07,Canada,Seed crushed,Canola (rapeseed),183625
1999/08,Canada,Seed crushed,Canola (rapeseed),167548
1999/09,Canada,Seed crushed,Canola (rapeseed),284507
1999/10,Canada,Seed crushed,Canola (rapeseed),266903
1999/11,Canada,Seed crushed,Canola (rapeseed),245626
1999/12,Canada,Seed crushed,Canola (rapeseed),293479
2000/01,Canada,Seed crushed,Canola (rapeseed),273365
2000/02,Canada,Seed crushed,Canola (rapeseed),231914
2000/03,Canada,Seed crushed,Canola (rapeseed),301705
2000/04,Canada,Seed crushed,Canola (rapeseed),205655
2000/05,Canada,Seed crushed,Canola (rapeseed),265540
2000/06,Canada,Seed crushed,Canola (rapeseed),242234
2000/07,Canada,Seed crushed,Canola (rapeseed),204905
2000/08,Canada,Seed crushed,Canola (rapeseed),237985
2000/09,Canada,Seed crushed,Canola (rapeseed),281672
2000/10,Canada,Seed crushed,Canola (rapeseed),294098
2000/11,Canada,Seed crushed,Canola (rapeseed),290402
2000/12,Canada,Seed crushed,Canola (rapeseed),280515
2001/01,Canada,Seed crushed,Canola (rapeseed),290238
2001/02,Canada,Seed crushed,Canola (rapeseed),244686
2001/03,Canada,Seed crushed,Canola (rapeseed),278975
2001/04,Canada,Seed crushed,Canola (rapeseed),221861
2001/05,Canada,Seed crushed,Canola (rapeseed),168194
2001/06,Canada,Seed crushed,Canola (rapeseed),216606
2001/07,Canada,Seed crushed,Canola (rapeseed),207859
2001/08,Canada,Seed crushed,Canola (rapeseed),197758
2001/09,Canada,Seed crushed,Canola (rapeseed),220964
2001/10,Canada,Seed crushed,Canola (rapeseed),213770
2001/11,Canada,Seed crushed,Canola (rapeseed),235814
2001/12,Canada,Seed crushed,Canola (rapeseed),203357
2002/01,Canada,Seed crushed,Canola (rapeseed),213233
2002/02,Canada,Seed crushed,Canola (rapeseed),182328
2002/03,Canada,Seed crushed,Canola (rapeseed),184346
2002/04,Canada,Seed crushed,Canola (rapeseed),166053
2002/05,Canada,Seed crushed,Canola (rapeseed),161213
2002/06,Canada,Seed crushed,Canola (rapeseed),163251
2002/07,Canada,Seed crushed,Canola (rapeseed),151075
2002/08,Canada,Seed crushed,Canola (rapeseed),190994
2002/09,Canada,Seed crushed,Canola (rapeseed),216504
2002/10,Canada,Seed crushed,Canola (rapeseed),192778
2002/11,Canada,Seed crushed,Canola (rapeseed),167731
2002/12,Canada,Seed crushed,Canola (rapeseed),144840
2003/01,Canada,Seed crushed,Canola (rapeseed),145732
2003/02,Canada,Seed crushed,Canola (rapeseed),185914
2003/03,Canada,Seed crushed,Canola (rapeseed),192041
2003/04,Canada,Seed crushed,Canola (rapeseed),188322
2003/05,Canada,Seed crushed,Canola (rapeseed),181151
2003/06,Canada,Seed crushed,Canola (rapeseed),197774
2003/07,Canada,Seed crushed,Canola (rapeseed),221133
2003/08,Canada,Seed crushed,Canola (rapeseed),209845
2003/09,Canada,Seed crushed,Canola (rapeseed),298462
2003/10,Canada,Seed crushed,Canola (rapeseed),279079
2003/11,Canada,Seed crushed,Canola (rapeseed),283488
2003/12,Canada,Seed crushed,Canola (rapeseed),289053
2004/01,Canada,Seed crushed,Canola (rapeseed),300216
2004/02,Canada,Seed crushed,Canola (rapeseed),267181
2004/03,Canada,Seed crushed,Canola (rapeseed),325247
2004/04,Canada,Seed crushed,Canola (rapeseed),307567
2004/05,Canada,Seed crushed,Canola (rapeseed),287763
2004/06,Canada,Seed crushed,Canola (rapeseed),234993
2004/07,Canada,Seed crushed,Canola (rapeseed),306664
2004/08,Canada,Seed crushed,Canola (rapeseed),259121
2004/09,Canada,Seed crushed,Canola (rapeseed),223777
2004/10,Canada,Seed crushed,Canola (rapeseed),288740
2004/11,Canada,Seed crushed,Canola (rapeseed),274977
2004/12,Canada,Seed crushed,Canola (rapeseed),283584
2005/01,Canada,Seed crushed,Canola (rapeseed),246560
2005/02,Canada,Seed crushed,Canola (rapeseed),247343
2005/03,Canada,Seed crushed,Canola (rapeseed),274913
2005/04,Canada,Seed crushed,Canola (rapeseed),249970
2005/05,Canada,Seed crushed,Canola (rapeseed),221362
2005/06,Canada,Seed crushed,Canola (rapeseed),201577
2005/07,Canada,Seed crushed,Canola (rapeseed),259005
2005/08,Canada,Seed crushed,Canola (rapeseed),239125
2005/09,Canada,Seed crushed,Canola (rapeseed),261091
2005/10,Canada,Seed crushed,Canola (rapeseed),299356
2005/11,Canada,Seed crushed,Canola (rapeseed),296053
2005/12,Canada,Seed crushed,Canola (rapeseed),291883
2006/01,Canada,Seed crushed,Canola (rapeseed),290836
2006/02,Canada,Seed crushed,Canola (rapeseed),282814
2006/03,Canada,Seed crushed,Canola (rapeseed),298908
2006/04,Canada,Seed crushed,Canola (rapeseed),293783
2006/05,Canada,Seed crushed,Canola (rapeseed),252294
2006/06,Canada,Seed crushed,Canola (rapeseed),300701
2006/07,Canada,Seed crushed,Canola (rapeseed),315776
2006/08,Canada,Seed crushed,Canola (rapeseed),297919
2006/09,Canada,Seed crushed,Canola (rapeseed),269076
2006/10,Canada,Seed crushed,Canola (rapeseed),324892
2006/11,Canada,Seed crushed,Canola (rapeseed),324914
2006/12,Canada,Seed crushed,Canola (rapeseed),332352
2007/01,Canada,Seed crushed,Canola (rapeseed),303370
2007/02,Canada,Seed crushed,Canola (rapeseed),257997
2007/03,Canada,Seed crushed,Canola (rapeseed),283754
2007/04,Canada,Seed crushed,Canola (rapeseed),294021
2007/05,Canada,Seed crushed,Canola (rapeseed),296695
2007/06,Canada,Seed crushed,Canola (rapeseed),293813
2007/07,Canada,Seed crushed,Canola (rapeseed),300276
2007/08,Canada,Seed crushed,Canola (rapeseed),329300
2007/09,Canada,Seed crushed,Canola (rapeseed),325278
2007/10,Canada,Seed crushed,Canola (rapeseed),350661
2007/11,Canada,Seed crushed,Canola (rapeseed),363313
2007/12,Canada,Seed crushed,Canola (rapeseed),373714
2008/01,Canada,Seed crushed,Canola (rapeseed),354349
2008/02,Canada,Seed crushed,Canola (rapeseed),340271
2008/03,Canada,Seed crushed,Canola (rapeseed),374283
2008/04,Canada,Seed crushed,Canola (rapeseed),323250
2008/05,Canada,Seed crushed,Canola (rapeseed),334422
2008/06,Canada,Seed crushed,Canola (rapeseed),337149
2008/07,Canada,Seed crushed,Canola (rapeseed),338459
2008/08,Canada,Seed crushed,Canola (rapeseed),303277
2008/09,Canada,Seed crushed,Canola (rapeseed),361669
2008/10,Canada,Seed crushed,Canola (rapeseed),396201
2008/11,Canada,Seed crushed,Canola (rapeseed),367089
2008/12,Canada,Seed crushed,Canola (rapeseed),387297
2009/01,Canada,Seed crushed,Canola (rapeseed),360020
2009/02,Canada,Seed crushed,Canola (rapeseed),345917
2009/03,Canada,Seed crushed,Canola (rapeseed),386368
2009/04,Canada,Seed crushed,Canola (rapeseed),352896
2009/05,Canada,Seed crushed,Canola (rapeseed),320201
2009/06,Canada,Seed crushed,Canola (rapeseed),329433
2009/07,Canada,Seed crushed,Canola (rapeseed),369518
2009/08,Canada,Seed crushed,Canola (rapeseed),332606
2009/09,Canada,Seed crushed,Canola (rapeseed),334542
2009/10,Canada,Seed crushed,Canola (rapeseed),309411
2009/11,Canada,Seed crushed,Canola (rapeseed),374278
2009/12,Canada,Seed crushed,Canola (rapeseed),353993
2010/01,Canada,Seed crushed,Canola (rapeseed),407370
2010/02,Canada,Seed crushed,Canola (rapeseed),387555
2010/03,Canada,Seed crushed,Canola (rapeseed),470110
2010/04,Canada,Seed crushed,Canola (rapeseed),437302
2010/05,Canada,Seed crushed,Canola (rapeseed),432364
2010/06,Canada,Seed crushed,Canola (rapeseed),451129
2010/07,Canada,Seed crushed,Canola (rapeseed),497174
2010/08,Canada,Seed crushed,Canola (rapeseed),438878
2010/09,Canada,Seed crushed,Canola (rapeseed),505009
2010/10,Canada,Seed crushed,Canola (rapeseed),551318
2010/11,Canada,Seed crushed,Canola (rapeseed),551947
2010/12,Canada,Seed crushed,Canola (rapeseed),553561
2011/01,Canada,Seed crushed,Canola (rapeseed),508420
2011/02,Canada,Seed crushed,Canola (rapeseed),489871
2011/03,Canada,Seed crushed,Canola (rapeseed),581086
2011/04,Canada,Seed crushed,Canola (rapeseed),544170
2011/05,Canada,Seed crushed,Canola (rapeseed),505238
2011/06,Canada,Seed crushed,Canola (rapeseed),529268
2011/07,Canada,Seed crushed,Canola (rapeseed),551636
